0.15427	0.06208	0.20037	0.1383	0.06915	0.03903	0.06915	0.11525	0.20221	0.1011	0.1472	0.18623	0.02305	0.08513	0.10818	0.08513	0.02305	0.09447	0.02305	0.0922	0.0922	0.31928	0.06915	0.08513	0.23233	0.1472	0.15427	0.02305	0.03903	0.09447	0.1383	0.06915	0.0922	0.13123	0.10818	0.1472	0.02305	0.06915	0.1472	0.0922	0.06208	0.06915	0.08513	0.1011	0.06208	0.16135	0.1383	0.2257	0.18667	0.0922	0.1933	0.1472	0.10818	0.11752	0.11525	0.03903	0.06915	0.08513	0.0461	0.02305	0.16135	0.15427	0.1796	0.1383
0.1192	0.05435	0.07319	0.05435	0.20073	0.10037	0.07319	0.17356	0.21957	0.12754	0.05435	0.26611	0.0	0.15472	0.10037	0.05435	0.05435	0.10037	0.05435	0.02718	0.08153	0.21175	0.05435	0.1924	0.17356	0.12754	0.07319	0.05435	0.07319	0.05435	0.02718	0.0	0.05435	0.02718	0.08153	0.14638	0.0	0.1819	0.12754	0.13588	0.02718	0.16306	0.17356	0.13588	0.04601	0.05435	0.17356	0.1574	0.14638	0.13588	0.08153	0.15472	0.13588	0.04601	0.21123	0.10037	0.17356	0.20073	0.17356	0.12754	0.10037	0.12754	0.10037	0.08421
0.0	0.08509	0.13117	0.04608	0.13117	0.02304	0.1152	0.15648	0.17018	0.1152	0.09216	0.14941	0.06205	0.02304	0.2783	0.1152	0.09216	0.19321	0.09216	0.13824	0.13117	0.20483	0.09216	0.15421	0.13117	0.17018	0.15421	0.0	0.08509	0.08509	0.09216	0.02304	0.02304	0.06912	0.09216	0.18659	0.02304	0.16355	0.23929	0.06912	0.06912	0.09216	0.19321	0.08509	0.14714	0.10813	0.10813	0.08509	0.10813	0.06912	0.1152	0.08509	0.1152	0.08736	0.16128	0.06205	0.13824	0.1152	0.08509	0.08509	0.20963	0.10813	0.21146	0.09216
0.04835	0.11345	0.13763	0.0	0.12087	0.07252	0.04835	0.2269	0.22929	0.04835	0.0967	0.13763	0.0967	0.0	0.18597	0.14743	0.17114	0.1618	0.0967	0.07252	0.0651	0.2269	0.12087	0.15438	0.11345	0.2269	0.12087	0.0967	0.13763	0.12087	0.0967	0.13763	0.07252	0.02417	0.04835	0.13763	0.0	0.18597	0.08928	0.13763	0.07252	0.0967	0.04835	0.16418	0.11345	0.07252	0.1618	0.12087	0.04835	0.04835	0.08928	0.11345	0.07252	0.0651	0.07252	0.0651	0.0967	0.14504	0.11345	0.1618	0.18597	0.1618	0.08186	0.2367
0.07554	0.12591	0.13563	0.07554	0.12591	0.07554	0.16854	0.07554	0.16081	0.11045	0.02518	0.11045	0.02518	0.02518	0.14336	0.12591	0.02518	0.16854	0.05036	0.14336	0.12591	0.11045	0.15109	0.16081	0.13563	0.22863	0.16081	0.11818	0.11818	0.05036	0.07554	0.07554	0.093	0.02518	0.02518	0.21118	0.093	0.186	0.25381	0.093	0.06782	0.12591	0.14336	0.11045	0.2189	0.14336	0.16081	0.07554	0.05036	0.093	0.16854	0.093	0.04264	0.04264	0.07554	0.11045	0.16854	0.05036	0.10072	0.06782	0.11818	0.186	0.22139	0.07554
0.06911	0.20732	0.15645	0.09214	0.15418	0.04607	0.15418	0.11518	0.10104	0.11745	0.11518	0.15418	0.09214	0.04607	0.20025	0.09214	0.09214	0.17015	0.06911	0.15418	0.04607	0.12407	0.13821	0.17721	0.14711	0.18611	0.15645	0.13821	0.08507	0.11518	0.06911	0.09214	0.10811	0.06911	0.09214	0.13114	0.11518	0.22328	0.20025	0.08507	0.06204	0.06911	0.06911	0.21622	0.06204	0.02304	0.14711	0.13114	0.17721	0.04607	0.08507	0.10811	0.15418	0.17721	0.06911	0.039	0.12407	0.13821	0.06911	0.09214	0.06911	0.10811	0.17949	0.04607
0.12097	0.02419	0.12335	0.08935	0.07258	0.02419	0.21774	0.13774	0.18851	0.11354	0.16935	0.19593	0.07258	0.04839	0.14012	0.11354	0.07258	0.12335	0.02419	0.11354	0.04839	0.14993	0.13774	0.15451	0.11354	0.18612	0.09677	0.09677	0.1787	0.18612	0.14516	0.04839	0.12097	0.04839	0.07258	0.2369	0.02419	0.09677	0.1787	0.02419	0.21774	0.14516	0.09677	0.13774	0.14755	0.08935	0.12097	0.09677	0.04839	0.14516	0.02419	0.11593	0.07258	0.19593	0.02419	0.09916	0.09677	0.02419	0.07258	0.09677	0.13774	0.08935	0.2369	0.07258
0.07275	0.11381	0.16424	0.097	0.097	0.13807	0.17913	0.12365	0.13062	0.1479	0.0	0.13807	0.02425	0.11381	0.08956	0.08956	0.02425	0.06531	0.0	0.08956	0.04106	0.15488	0.14551	0.20338	0.18152	0.28789	0.16471	0.02425	0.06531	0.18657	0.07275	0.0485	0.13807	0.12126	0.0485	0.08956	0.02425	0.11381	0.16232	0.16232	0.16232	0.097	0.07275	0.13807	0.13807	0.097	0.17913	0.21826	0.08956	0.07275	0.0994	0.09195	0.07514	0.19594	0.07275	0.08956	0.08956	0.14551	0.0485	0.097	0.12126	0.16232	0.14046	0.14551
0.14731	0.12937	0.09556	0.15525	0.05175	0.07762	0.07762	0.05175	0.16525	0.07762	0.02587	0.19112	0.1035	0.12937	0.12143	0.12937	0.12937	0.20955	0.0	0.07762	0.05175	0.13937	0.1035	0.22493	0.14731	0.19906	0.15525	0.09556	0.14731	0.15525	0.15525	0.12937	0.02587	0.0	0.1035	0.21699	0.07762	0.17318	0.20906	0.07762	0.1035	0.1035	0.05175	0.14731	0.14731	0.05175	0.15525	0.07762	0.1035	0.1035	0.1035	0.06969	0.12937	0.09556	0.12937	0.12143	0.12937	0.05175	0.08762	0.05175	0.13937	0.17318	0.12399	0.12937
0.12126	0.05009	0.13885	0.05917	0.05917	0.05917	0.21586	0.11834	0.28062	0.07968	0.02959	0.14177	0.07968	0.11834	0.10927	0.05917	0.02959	0.21853	0.0	0.08876	0.14793	0.20945	0.21853	0.24812	0.19802	0.07968	0.08876	0.06209	0.05009	0.11834	0.05917	0.10927	0.05917	0.05917	0.08876	0.13885	0.05917	0.12126	0.14177	0.08876	0.13885	0.11834	0.07968	0.17752	0.10927	0.08876	0.08876	0.05917	0.02959	0.12126	0.05917	0.15936	0.08876	0.18895	0.07968	0.13885	0.07968	0.11834	0.02959	0.10927	0.06209	0.13885	0.25104	0.11834
0.06575	0.04383	0.19053	0.08767	0.10959	0.02192	0.08767	0.12478	0.13997	0.10959	0.02192	0.13324	0.05903	0.06575	0.19053	0.10286	0.04383	0.21245	0.02192	0.1315	0.10959	0.22091	0.1315	0.12478	0.27147	0.19053	0.21245	0.02192	0.14669	0.14669	0.04383	0.06575	0.04383	0.10959	0.1315	0.22133	0.02192	0.10959	0.13997	0.1315	0.10959	0.02192	0.12478	0.15342	0.23436	0.10286	0.10959	0.10959	0.14669	0.02192	0.04383	0.08094	0.1315	0.13997	0.17534	0.10286	0.04383	0.06575	0.04383	0.10959	0.15342	0.03711	0.11805	0.08767
0.19264	0.28589	0.12441	0.02836	0.08509	0.16148	0.2353	0.12441	0.15557	0.05673	0.17018	0.10755	0.05673	0.10475	0.21821	0.05673	0.05673	0.13311	0.0	0.11345	0.08509	0.2008	0.17018	0.2095	0.13311	0.12441	0.10475	0.05952	0.10475	0.14182	0.05673	0.08509	0.02836	0.02836	0.08509	0.10475	0.02836	0.10755	0.19264	0.05673	0.02836	0.02836	0.2095	0.12441	0.07639	0.05673	0.16148	0.10475	0.16148	0.11625	0.05673	0.07639	0.05673	0.10475	0.18114	0.04802	0.04802	0.15278	0.05673	0.11905	0.16428	0.10475	0.13591	0.08509
0.11796	0.14156	0.15791	0.04719	0.16515	0.04719	0.09437	0.11796	0.17426	0.08713	0.15791	0.24737	0.07078	0.0	0.08713	0.11072	0.02359	0.14343	0.07078	0.16515	0.1815	0.15067	0.04719	0.13432	0.08713	0.08713	0.08713	0.11796	0.12708	0.09437	0.04719	0.11796	0.07078	0.04719	0.2051	0.21466	0.04719	0.14388	0.26372	0.02359	0.09437	0.0	0.11072	0.15791	0.12708	0.14156	0.07078	0.07078	0.15067	0.16515	0.02359	0.19786	0.04719	0.07311	0.17426	0.11072	0.1815	0.06354	0.07078	0.09437	0.0967	0.06354	0.14343	0.15791
0.06125	0.14372	0.14372	0.03062	0.09187	0.03062	0.03062	0.09187	0.16494	0.09187	0.12249	0.16494	0.03062	0.0	0.14372	0.15311	0.06125	0.13432	0.0	0.12249	0.13432	0.19557	0.06125	0.19557	0.14372	0.18617	0.15311	0.03062	0.17434	0.15311	0.11309	0.09187	0.06125	0.06125	0.12249	0.23559	0.03062	0.09489	0.22619	0.09187	0.12249	0.14372	0.12249	0.09187	0.17434	0.11309	0.06125	0.09187	0.06125	0.23559	0.09187	0.08247	0.11309	0.11309	0.14372	0.11309	0.12249	0.12249	0.06125	0.12249	0.14674	0.11309	0.11611	0.17434
0.1342	0.11786	0.18134	0.04714	0.03991	0.07072	0.21634	0.09429	0.34098	0.02357	0.02357	0.12696	0.11063	0.11063	0.11063	0.12696	0.09429	0.20491	0.0	0.09429	0.09429	0.07982	0.11786	0.22125	0.15054	0.1433	0.11786	0.06348	0.03991	0.22849	0.11786	0.02357	0.11786	0.1342	0.11786	0.2	0.04714	0.1342	0.19045	0.07072	0.02357	0.08705	0.18857	0.1342	0.15777	0.09429	0.04714	0.11063	0.08705	0.10339	0.07072	0.06348	0.09429	0.12696	0.03991	0.15054	0.04714	0.15054	0.11786	0.06348	0.11063	0.03991	0.15054	0.06348
